 time[s]              longitude[deg]       latitude[deg]        azimuth[deg]
 5.8999905002079E+03  7.5113904196532E+01  1.1661639599127E+02  4.5000584059022E+01
 5.8999920002079E+03  7.5113923293605E+01  1.1661647033003E+02  4.5000584059022E+01
 5.8999935002079E+03  7.5113942390678E+01  1.1661654466888E+02  4.5000584059022E+01
 5.8999950002079E+03  7.5113961487750E+01  1.1661661900782E+02  4.5000584059022E+01
 5.8999965002079E+03  7.5113980584823E+01  1.1661669334685E+02  4.5000584059022E+01
 5.8999980002079E+03  7.5113999681895E+01  1.1661676768598E+02  4.5000584059022E+01
 5.8999995002079E+03  7.5114018778968E+01  1.1661684202521E+02  4.5000584059022E+01
 5.9000010002079E+03  7.5114037876041E+01  1.1661691636452E+02  4.5000584059022E+01
 5.9000025002079E+03  7.5114056973113E+01  1.1661699070393E+02  4.5000584059022E+01
 5.9000040002079E+03  7.5114076070186E+01  1.1661706504343E+02  4.5000584059022E+01
 5.9000055002079E+03  7.5114095167258E+01  1.1661713938302E+02  4.5000584059022E+01
 5.9000070002079E+03  7.5114114264331E+01  1.1661721372271E+02  4.5000584059022E+01
 5.9000085002079E+03  7.5114133361404E+01  1.1661728806249E+02  4.5000584059023E+01
 5.9999910002283E+03  7.6387048694644E+01  1.2179224911845E+02  4.5000584060107E+01
 5.9999925002283E+03  7.6387067791715E+01  1.2179233025949E+02  4.5000584060107E+01
 5.9999940002283E+03  7.6387086888787E+01  1.2179241140063E+02  4.5000584060106E+01
 5.9999955002283E+03  7.6387105985859E+01  1.2179249254189E+02  4.5000584060106E+01
 5.9999970002283E+03  7.6387125082931E+01  1.2179257368326E+02  4.5000584060106E+01
 5.9999985002283E+03  7.6387144180003E+01  1.2179265482474E+02  4.5000584060106E+01
 6.0000000002283E+03  7.6387163277075E+01  1.2179273596633E+02  4.5000584060106E+01
 6.0000015002283E+03  7.6387182374146E+01  1.2179281710803E+02  4.5000584060106E+01
 6.0000030002283E+03  7.6387201471218E+01  1.2179289824985E+02  4.5000584060106E+01
 6.0000045002283E+03  7.6387220568290E+01  1.2179297939177E+02  4.5000584060106E+01
 6.0000060002283E+03  7.6387239665362E+01  1.2179306053381E+02  4.5000584060106E+01
 6.0000075002283E+03  7.6387258762434E+01  1.2179314167596E+02  4.5000584060106E+01
 6.0000090002283E+03  7.6387277859506E+01  1.2179322281822E+02  4.5000584060106E+01
 6.0999900002487E+03  7.7660174028890E+01  1.2746657614644E+02  4.5000584059498E+01
 6.0999915002487E+03  7.7660193125959E+01  1.2746666550843E+02  4.5000584059498E+01
 6.0999930002487E+03  7.7660212223029E+01  1.2746675487055E+02  4.5000584059498E+01
 6.0999945002487E+03  7.7660231320099E+01  1.2746684423281E+02  4.5000584059498E+01
 6.0999960002487E+03  7.7660250417169E+01  1.2746693359520E+02  4.5000584059498E+01
 6.0999975002487E+03  7.7660269514239E+01  1.2746702295773E+02  4.5000584059498E+01
 6.0999990002487E+03  7.7660288611309E+01  1.2746711232040E+02  4.5000584059498E+01
 6.1000005002487E+03  7.7660307708379E+01  1.2746720168320E+02  4.5000584059498E+01
 6.1000020002487E+03  7.7660326805449E+01  1.2746729104614E+02  4.5000584059498E+01
 6.1000035002487E+03  7.7660345902519E+01  1.2746738040921E+02  4.5000584059498E+01
 6.1000050002487E+03  7.7660364999588E+01  1.2746746977242E+02  4.5000584059498E+01
 6.1000065002487E+03  7.7660384096658E+01  1.2746755913577E+02  4.5000584059498E+01
 6.1000080002487E+03  7.7660403193728E+01  1.2746764849925E+02  4.5000584059498E+01
 6.1000095002487E+03  7.7660422290798E+01  1.2746773786287E+02  4.5000584059498E+01
 6.1999905002690E+03  7.8933318349696E+01  1.3374937689490E+02  4.5000584059695E+01
 6.1999920002690E+03  7.8933337446765E+01  1.3374947638632E+02  4.5000584059695E+01
 6.1999935002690E+03  7.8933356543833E+01  1.3374957587791E+02  4.5000584059695E+01
 6.1999950002690E+03  7.8933375640902E+01  1.3374967536966E+02  4.5000584059695E+01
 6.1999965002690E+03  7.8933394737971E+01  1.3374977486159E+02  4.5000584059695E+01
 6.1999980002690E+03  7.8933413835039E+01  1.3374987435369E+02  4.5000584059695E+01
 6.1999995002690E+03  7.8933432932108E+01  1.3374997384595E+02  4.5000584059695E+01
 6.2000010002690E+03  7.8933452029177E+01  1.3375007333839E+02  4.5000584059695E+01
 6.2000025002690E+03  7.8933471126245E+01  1.3375017283099E+02  4.5000584059695E+01
 6.2000040002690E+03  7.8933490223314E+01  1.3375027232377E+02  4.5000584059695E+01
 6.2000055002690E+03  7.8933509320383E+01  1.3375037181671E+02  4.5000584059695E+01
 6.2000070002690E+03  7.8933528417451E+01  1.3375047130983E+02  4.5000584059695E+01
 6.2000085002690E+03  7.8933547514520E+01  1.3375057080311E+02  4.5000584059695E+01
 6.2999910002894E+03  8.0206462538689E+01  1.4079078415125E+02  4.5000584059869E+01
 6.2999925002894E+03  8.0206481635755E+01  1.4079089642460E+02  4.5000584059869E+01
 6.2999940002894E+03  8.0206500732821E+01  1.4079100869816E+02  4.5000584059869E+01
 6.2999955002894E+03  8.0206519829887E+01  1.4079112097194E+02  4.5000584059869E+01
 6.2999970002894E+03  8.0206538926953E+01  1.4079123324593E+02  4.5000584059869E+01
 6.2999985002894E+03  8.0206558024019E+01  1.4079134552014E+02  4.5000584059869E+01
 6.3000000002894E+03  8.0206577121085E+01  1.4079145779457E+02  4.5000584059869E+01
 6.3000015002894E+03  8.0206596218152E+01  1.4079157006922E+02  4.5000584059869E+01
 6.3000030002894E+03  8.0206615315218E+01  1.4079168234408E+02  4.5000584059869E+01
 6.3000045002894E+03  8.0206634412284E+01  1.4079179461916E+02  4.5000584059869E+01
 6.3000060002894E+03  8.0206653509350E+01  1.4079190689445E+02  4.5000584059869E+01
 6.3000075002894E+03  8.0206672606416E+01  1.4079201916997E+02  4.5000584059869E+01
 6.3000090002894E+03  8.0206691703482E+01  1.4079213144570E+02  4.5000584059869E+01
 6.3999900003098E+03  8.1479587475223E+01  1.4880387142209E+02  4.5000584059503E+01
 6.3999915003098E+03  8.1479606572287E+01  1.4880400031849E+02  4.5000584059503E+01
 6.3999930003098E+03  8.1479625669350E+01  1.4880412921518E+02  4.5000584059503E+01
 6.3999945003098E+03  8.1479644766414E+01  1.4880425811215E+02  4.5000584059503E+01
 6.3999960003098E+03  8.1479663863477E+01  1.4880438700941E+02  4.5000584059503E+01
 6.3999975003098E+03  8.1479682960541E+01  1.4880451590695E+02  4.5000584059503E+01
 6.3999990003098E+03  8.1479702057604E+01  1.4880464480479E+02  4.5000584059503E+01
 6.4000005003098E+03  8.1479721154668E+01  1.4880477370291E+02  4.5000584059503E+01
 6.4000020003098E+03  8.1479740251731E+01  1.4880490260131E+02  4.5000584059503E+01
 6.4000035003098E+03  8.1479759348795E+01  1.4880503150001E+02  4.5000584059503E+01
 6.4000050003098E+03  8.1479778445858E+01  1.4880516039899E+02  4.5000584059503E+01
 6.4000065003098E+03  8.1479797542922E+01  1.4880528929825E+02  4.5000584059503E+01
 6.4000080003098E+03  8.1479816639985E+01  1.4880541819781E+02  4.5000584059503E+01
 6.4000095003098E+03  8.1479835737049E+01  1.4880554709765E+02  4.5000584059503E+01
 6.4999905003301E+03  8.2752731280781E+01  1.5810609984976E+02  4.5000584059911E+01
 6.4999920003301E+03  8.2752750377841E+01  1.5810625123517E+02  4.5000584059911E+01
 6.4999935003301E+03  8.2752769474900E+01  1.5810640262098E+02  4.5000584059911E+01
 6.4999950003301E+03  8.2752788571960E+01  1.5810655400719E+02  4.5000584059911E+01
 6.4999965003301E+03  8.2752807669020E+01  1.5810670539379E+02  4.5000584059911E+01
