 Scott Sterling
            t(sec)              u(ft/sec)               v(ft/sec)               w(ft/sec)              p(rad/sec)            q(rad/sec)            r(rad/sec)               x(ft)                   y(ft)                   z(ft)                 e0                     ex                    ey                    ez
     2.300000000000E-01     1.154841763075E+02     0.000000000000E+00    -1.354484758389E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     2.658411092094E+01     0.000000000000E+00    -3.896946522843E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     2.400000000000E-01     1.154754425189E+02     0.000000000000E+00    -1.322209610846E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     2.773890902670E+01     0.000000000000E+00    -3.910329992796E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     2.500000000000E-01     1.154666949051E+02     0.000000000000E+00    -1.289936740754E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     2.889361972524E+01     0.000000000000E+00    -3.923390722651E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     2.600000000000E-01     1.154579337185E+02     0.000000000000E+00    -1.257666158771E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     3.004824287956E+01     0.000000000000E+00    -3.936128735238E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     2.700000000000E-01     1.154491592129E+02     0.000000000000E+00    -1.225397875368E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     3.120277835521E+01     0.000000000000E+00    -3.948544053489E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     2.800000000000E-01     1.154403716441E+02     0.000000000000E+00    -1.193131900826E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     3.235722602027E+01     0.000000000000E+00    -3.960636700441E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     2.900000000000E-01     1.154315712699E+02     0.000000000000E+00    -1.160868245227E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     3.351158574541E+01     0.000000000000E+00    -3.972406699235E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     3.000000000000E-01     1.154227583497E+02     0.000000000000E+00    -1.128606918461E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     3.466585740385E+01     0.000000000000E+00    -3.983854073109E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     3.100000000000E-01     1.154139331446E+02     0.000000000000E+00    -1.096347930217E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     3.582004087145E+01     0.000000000000E+00    -3.994978845399E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     3.200000000000E-01     1.154050959177E+02     0.000000000000E+00    -1.064091289982E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     3.697413602667E+01     0.000000000000E+00    -4.005781039540E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
